number,position,positionText,points,grid,laps,status,driverId,constructorId,Time.millis,Time.time,FastestLap.rank,FastestLap.lap,FastestLap.Time.time,FastestLap.AverageSpeed.units,FastestLap.AverageSpeed.speed,season,round
4,16,R,0,18,37,Gearbox,alesi,tyrrell,,,,,,,,1989,15
30,17,R,0,8,36,Engine,alliot,larrousse,,,,,,,,1989,15
28,18,R,0,3,34,Gearbox,berger,ferrari,,,,,,,,1989,15
20,19,R,0,22,33,Collision,pirro,benetton,,,,,,,,1989,15
26,20,R,0,23,31,Engine,grouillard,ligier,,,,,,,,1989,15
16,21,R,0,17,27,Suspension,capelli,march,,,,,,,,1989,15
17,22,R,0,10,21,Brakes,larini,osella,,,,,,,,1989,15
3,23,R,0,26,20,Fuel leak,palmer,tyrrell,,,,,,,,1989,15
34,24,R,0,21,1,Gearbox,schneider,zakspeed,,,,,,,,1989,15
24,25,R,0,14,0,Collision,sala,minardi,,,,,,,,1989,15
23,26,R,0,19,0,Clutch,barilla,minardi,,,,,,,,1989,15
25,27,F,0,0,0,Did not qualify,arnoux,ligier,,,,,,,,1989,15
29,28,F,0,0,0,Did not qualify,alboreto,larrousse,,,,,,,,1989,15
38,29,F,0,0,0,Did not qualify,raphanel,rial,,,,,,,,1989,15
39,30,F,0,0,0,Did not qualify,gachot,rial,,,,,,,,1989,15
4,1,1,10,2,56,Finished,irvine,ferrari,5798494,1:36:38.494,,,,,,1999,15
3,2,2,6,1,56,Finished,michael_schumacher,ferrari,5799534,+1.040,,,,,,1999,15
1,3,3,4,4,56,Finished,hakkinen,mclaren,5808237,+9.743,,,,,,1999,15
17,4,4,3,5,56,Finished,herbert,stewart,5816032,+17.538,,,,,,1999,15
16,5,5,2,6,56,Finished,barrichello,stewart,5830790,+32.296,,,,,,1999,15
8,6,6,1,14,56,Finished,frentzen,jordan,5833378,+34.884,,,,,,1999,15
11,7,7,0,15,56,Finished,alesi,sauber,5852902,+54.408,,,,,,1999,15
10,8,8,0,7,56,Finished,wurz,benetton,5859428,+1:00.934,,,,,,1999,15
21,9,9,0,19,55,+1 Lap,gene,minardi,,,,,,,,1999,15
5,10,10,0,16,55,+1 Lap,zanardi,williams,,,,,,,,1999,15
9,11,11,0,11,52,+4 Laps,fisichella,benetton,,,,,,,,1999,15
22,12,R,0,10,48,Hydraulics,villeneuve,bar,,,,,,,,1999,15
12,13,R,0,17,44,Spun off,diniz,sauber,,,,,,,,1999,15
14,14,R,0,20,30,Engine,rosa,arrows,,,,,,,,1999,15
20,15,R,0,21,15,Spun off,badoer,minardi,,,,,,,,1999,15
2,16,R,0,3,14,Fuel pressure,coulthard,mclaren,,,,,,,,1999,15
6,17,R,0,8,7,Spun off,ralf_schumacher,williams,,,,,,,,1999,15
15,18,R,0,22,7,Transmission,takagi,arrows,,,,,,,,1999,15
23,19,R,0,13,6,Engine,zonta,bar,,,,,,,,1999,15
18,20,R,0,12,5,Engine,panis,prost,,,,,,,,1999,15
7,21,R,0,9,0,Collision,damon_hill,jordan,,,,,,,,1999,15
19,22,W,0,18,0,Engine,trulli,prost,,,,,,,,1999,15
11,1,1,9,1,76,Finished,scheckter,ferrari,6922480,1:55:22.48,,,,,,1979,7
28,2,2,6,16,76,Finished,regazzoni,williams,6922920,+0.44,,,,,,1979,7
2,3,3,4,11,76,Finished,reutemann,team_lotus,6931050,+8.57,,,,,,1979,7
7,4,4,3,14,76,Finished,watson,mclaren,6963790,+41.31,,,,,,1979,7
25,5,5,2,3,75,Engine,depailler,ligier,,,,,,,,1979,7
30,6,6,1,8,69,+7 Laps,mass,arrows,,,,,,,,1979,7
6,7,R,0,18,68,Transmission,piquet,brabham-alfa_romeo,,,,,,,,1979,7
15,8,N,0,20,68,+8 Laps,jabouille,renault,,,,,,,,1979,7
26,9,R,0,5,55,Gearbox,laffite,ligier,,,,,,,,1979,7
12,10,R,0,2,54,Transmission,gilles_villeneuve,ferrari,,,,,,,,1979,7
27,11,R,0,9,43,Steering,jones,williams,,,,,,,,1979,7
4,12,R,0,6,34,Suspension,jarier,tyrrell,,,,,,,,1979,7
9,13,R,0,12,30,Wheel,stuck,ats,,,,,,,,1979,7
5,14,R,0,4,21,Accident,lauda,brabham-alfa_romeo,,,,,,,,1979,7
3,15,R,0,7,21,Accident,pironi,tyrrell,,,,,,,,1979,7
1,16,R,0,13,21,Suspension,mario_andretti,team_lotus,,,,,,,,1979,7
14,17,R,0,17,17,Engine,emerson_fittipaldi,fittipaldi,,,,,,,,1979,7
16,18,R,0,19,8,Accident,arnoux,renault,,,,,,,,1979,7
20,19,R,0,10,4,Transmission,hunt,wolf,,,,,,,,1979,7
29,20,R,0,15,4,Suspension,patrese,arrows,,,,,,,,1979,7
18,21,F,0,0,0,Did not qualify,angelis,shadow,,,,,,,,1979,7
8,22,F,0,0,0,Did not qualify,tambay,mclaren,,,,,,,,1979,7
17,23,F,0,0,0,Did not qualify,lammers,shadow,,,,,,,,1979,7
22,24,F,0,0,0,Did not qualify,daly,ensign,,,,,,,,1979,7
24,25,F,0,0,0,Did not prequalify,brancatelli,merzario,,,,,,,,1979,7
1,1,1,9,6,28,Finished,rodriguez,brm,5890100,1:38:10.1,,,,,,1970,4
10,2,2,6,3,28,Finished,amon,march,5891200,+1.1,,,,,,1970,4
25,3,3,4,11,28,Finished,beltoise,matra,5993800,+1:43.7,,,,,,1970,4
28,4,4,3,8,28,Finished,giunti,ferrari,6048600,+2:38.5,,,,,,1970,4
19,5,5,2,7,28,Finished,stommelen,brabham,6101900,+3:31.8,,,,,,1970,4
26,6,6,1,17,27,Electrical,pescarolo,matra,,,,,,,,1970,4
9,7,7,0,10,26,Fuel pressure,siffert,march,,,,,,,,1970,4
27,8,8,0,4,26,+2 Laps,ickx,ferrari,,,,,,,,1970,4
14,9,N,0,9,20,Not classified,peterson,march,,,,,,,,1970,4
18,10,R,0,5,19,Clutch,jack_brabham,brabham,,,,,,,,1970,4
23,11,R,0,16,19,Engine,hill,team_lotus,,,,,,,,1970,4
11,12,R,0,1,14,Engine,stewart,march,,,,,,,,1970,4
21,13,R,0,13,13,Gearbox,miles,team_lotus,,,,,,,,1970,4
20,14,R,0,2,10,Engine,rindt,team_lotus,,,,,,,,1970,4
2,15,R,0,14,7,Engine,oliver,brm,,,,,,,,1970,4
7,16,R,0,12,4,Oil pressure,courage,tomaso,,,,,,,,1970,4
8,17,R,0,15,1,Gearbox,bell,brabham,,,,,,,,1970,4
20,1,1,9,2,76,Finished,scheckter,wolf,7072770,1:57:52.77,,,,,,1977,6
11,2,2,6,6,76,Finished,lauda,ferrari,7073659,+0.889,,,,,,1977,6
12,3,3,4,3,76,Finished,reutemann,ferrari,7105570,+32.8,,,,,,1977,6
2,4,4,3,9,76,Finished,mass,mclaren,7107370,+34.6,,,,,,1977,6
5,5,5,2,10,76,Finished,mario_andretti,team_lotus,7108320,+35.55,,,,,,1977,6
17,6,6,1,11,76,Finished,jones,shadow,7109380,+36.61,,,,,,1977,6
26,7,7,0,16,76,Finished,laffite,ligier,7137210,+1:04.44,,,,,,1977,6
19,8,8,0,14,76,Finished,brambilla,surtees,7141410,+1:08.64,,,,,,1977,6
16,9,9,0,15,75,+1 Lap,patrese,shadow,,,,,,,,1977,6
22,10,10,0,17,75,+1 Lap,ickx,ensign,,,,,,,,1977,6
34,11,11,0,12,74,+2 Laps,jarier,penske,,,,,,,,1977,6
24,12,12,0,20,73,+3 Laps,keegan,hesketh,,,,,,,,1977,6
6,13,R,0,13,51,Gearbox,nilsson,team_lotus,,,,,,,,1977,6
7,14,R,0,1,48,Gearbox,watson,brabham,,,,,,,,1977,6
4,15,R,0,8,46,Gearbox,depailler,tyrrell,,,,,,,,1977,6
18,16,R,0,19,41,Fuel system,binder,surtees,,,,,,,,1977,6
28,17,R,0,18,37,Engine,emerson_fittipaldi,fittipaldi,,,,,,,,1977,6
1,18,R,0,7,25,Engine,hunt,mclaren,,,,,,,,1977,6
8,19,R,0,5,19,Electrical,stuck,brabham,,,,,,,,1977,6
3,20,R,0,4,10,Brakes,peterson,tyrrell,,,,,,,,1977,6
37,21,F,0,0,0,Did not qualify,merzario,march,,,,,,,,1977,6
33,22,F,0,0,0,Did not qualify,hayje,march,,,,,,,,1977,6
25,23,F,0,0,0,Did not qualify,ertl,hesketh,,,,,,,,1977,6
22,24,F,0,0,0,Did not qualify,regazzoni,ensign,,,,,,,,1977,6
9,25,F,0,0,0,Did not qualify,ribeiro,march,,,,,,,,1977,6
10,26,F,0,0,0,Did not qualify,ian_scheckter,march,,,,,,,,1977,6
7,1,1,9,5,68,Finished,watson,mclaren,5214800,1:26:54.80,,,,,,1981,9
2,2,2,6,9,68,Finished,reutemann,williams,5255450,+40.65,,,,,,1981,9
26,3,3,4,14,67,+1 Lap,laffite,ligier,,,,,,,,1981,9
3,4,4,3,23,67,+1 Lap,cheever,tyrrell,,,,,,,,1981,9
6,5,5,2,13,67,+1 Lap,rebaque,brabham,,,,,,,,1981,9
9,6,6,1,21,67,+1 Lap,borgudd,ats,,,,,,,,1981,9
17,7,7,0,17,66,+2 Laps,daly,march,,,,,,,,1981,9
32,8,8,0,20,65,+3 Laps,jarier,osella,,,,,,,,1981,9
16,9,9,0,1,64,Distributor,arnoux,renault,,,,,,,,1981,9
29,10,10,0,10,64,Engine,patrese,arrows,,,,,,,,1981,9
33,11,11,0,24,61,Out of fuel,surer,theodore,,,,,,,,1981,9
22,12,R,0,11,59,Throttle,mario_andretti,alfa,,,,,,,,1981,9
20,13,R,0,14,56,Suspension,keke_rosberg,fittipaldi,,,,,,,,1981,9
11,14,D,0,22,25,Disqualified,angelis,team_lotus,,,,,,,,1981,9
15,15,R,0,2,17,Distributor,prost,renault,,,,,,,,1981,9
25,16,R,0,15,15,Clutch,tambay,ligier,,,,,,,,1981,9
28,17,R,0,4,13,Turbo,pironi,ferrari,,,,,,,,1981,9
5,18,R,0,3,11,Tyre,piquet,brabham,,,,,,,,1981,9
23,19,R,0,12,5,Transmission,giacomelli,alfa,,,,,,,,1981,9
27,20,R,0,8,4,Spun off,gilles_villeneuve,ferrari,,,,,,,,1981,9
1,21,R,0,7,3,Collision,jones,williams,,,,,,,,1981,9
8,22,R,0,6,3,Spun off,cesaris,mclaren,,,,,,,,1981,9
4,23,R,0,19,1,Clutch,alboreto,tyrrell,,,,,,,,1981,9
30,24,R,0,18,8,Spun off,stohr,arrows,,,,,,,,1981,9
21,25,F,0,0,0,Did not qualify,serra,fittipaldi,,,,,,,,1981,9
35,26,F,0,0,0,Did not qualify,henton,toleman,,,,,,,,1981,9
12,27,F,0,0,0,Did not qualify,mansell,team_lotus,,,,,,,,1981,9
14,28,F,0,0,0,Did not qualify,salazar,ensign,,,,,,,,1981,9
36,29,F,0,0,0,Did not qualify,warwick,toleman,,,,,,,,1981,9
31,30,F,0,0,0,Did not qualify,gabbiani,osella,,,,,,,,1981,9
18,1,1,9,2,80,Finished,clark,lotus-climax,7655400,2:07:35.4,,,,,,1964,2
2,2,2,6,4,80,Finished,surtees,ferrari,7709000,+53.6,,,,,,1964,2
20,3,3,4,6,79,+1 Lap,arundell,lotus-climax,,,,,,,,1964,2
6,4,4,3,3,79,+1 Lap,hill,brm,,,,,,,,1964,2
10,5,5,2,13,79,+1 Lap,amon,lotus-brm,,,,,,,,1964,2
34,6,6,1,11,78,+2 Laps,anderson,brabham-climax,,,,,,,,1964,2
24,7,7,0,5,78,+2 Laps,mclaren,cooper-climax,,,,,,,,1964,2
22,8,8,0,9,76,+4 Laps,phil_hill,cooper-climax,,,,,,,,1964,2
26,9,9,0,12,76,+4 Laps,bonnier,brabham-brm,,,,,,,,1964,2
32,10,10,0,16,74,+6 Laps,baghetti,brm,,,,,,,,1964,2
8,11,11,0,8,64,+16 Laps,ginther,brm,,,,,,,,1964,2
12,12,12,0,14,57,Differential,hailwood,lotus-brm,,,,,,,,1964,2
36,13,13,0,18,55,+25 Laps,siffert,brabham-brm,,,,,,,,1964,2
14,14,R,0,7,44,Ignition,jack_brabham,brabham-climax,,,,,,,,1964,2
16,15,R,0,1,23,Steering,gurney,brabham-climax,,,,,,,,1964,2
4,16,R,0,10,20,Ignition,bandini,ferrari,,,,,,,,1964,2
28,17,R,0,17,8,Engine,beaufort,porsche,,,,,,,,1964,2
30,18,W,0,0,0,Accident,maggs,brm,,,,,,,,1964,2
2,1,1,8,3,80,Finished,ascari,ferrari,9759300,2:42:39.3,,,,,,1951,7
6,2,2,6,4,80,Finished,gonzalez,ferrari,9783900,+24.6,,,,,,1951,7
40,3,3,2,7,79,+1 Lap,bonetto,alfa,,,,,,,,1951,7
40,3,3,3,7,79,+1 Lap,farina,alfa,,,,,,,,1951,7
4,4,4,3,5,79,+1 Lap,villoresi,ferrari,,,,,,,,1951,7
8,5,5,2,6,78,+2 Laps,taruffi,ferrari,,,,,,,,1951,7
48,6,6,0,11,74,+6 Laps,simon,simca,,,,,,,,1951,7
18,7,7,0,15,73,+7 Laps,rosier,lago,,,,,,,,1951,7
24,8,8,0,14,72,+8 Laps,cabantous,lago,,,,,,,,1951,7
44,9,9,0,18,67,+13 Laps,rol,osca,,,,,,,,1951,7
38,10,R,0,1,39,Engine,fangio,alfa,,,,,,,,1951,7
50,11,R,0,12,29,Engine,trintignant,simca,,,,,,,,1951,7
46,12,R,0,13,29,Engine,manzon,simca,,,,,,,,1951,7
20,13,R,0,17,23,Ignition,chiron,lago,,,,,,,,1951,7
22,14,R,0,20,9,Engine,levegh,lago,,,,,,,,1951,7
28,15,R,0,22,7,Overheating,swaters,lago,,,,,,,,1951,7
34,16,R,0,2,6,Engine,farina,alfa,,,,,,,,1951,7
26,17,R,0,21,4,Oil pump,claes,lago,,,,,,,,1951,7
36,18,R,0,9,1,Supercharger,graffenried,alfa,,,,,,,,1951,7
16,19,R,0,19,1,Magneto,whitehead,ferrari,,,,,,,,1951,7
12,20,R,0,16,0,Transmission,landi,ferrari,,,,,,,,1951,7
30,21,W,0,8,0,Withdrew,reg_parnell,brm,,,,,,,,1951,7
32,22,W,0,10,0,Withdrew,richardson,brm,,,,,,,,1951,7
1,1,1,10,3,71,Finished,michael_schumacher,ferrari,5631562,1:33:51.562,,,,,,2002,6
2,2,2,6,1,71,Finished,barrichello,ferrari,5631744,+0.182,,,,,,2002,6
6,3,3,4,4,71,Finished,montoya,williams,5649292,+17.730,,,,,,2002,6
5,4,4,3,2,71,Finished,ralf_schumacher,williams,5650010,+18.448,,,,,,2002,6
9,5,5,2,15,71,Finished,fisichella,jordan,5681527,+49.965,,,,,,2002,6
3,6,6,1,8,71,Finished,coulthard,mclaren,5682234,+50.672,,,,,,2002,6
15,7,7,0,13,71,Finished,button,renault,5682791,+51.229,,,,,,2002,6
24,8,8,0,10,71,Finished,salo,toyota,5700987,+1:09.425,,,,,,2002,6
25,9,9,0,14,71,Finished,mcnish,toyota,5701280,+1:09.718,,,,,,2002,6
11,10,10,0,17,70,+1 Lap,villeneuve,bar,,,,,,,,2002,6
20,11,11,0,11,69,+2 Laps,frentzen,arrows,,,,,,,,2002,6
23,12,12,0,21,69,+2 Laps,webber,minardi,,,,,,,,2002,6
14,13,R,0,16,44,Fuel pressure,trulli,renault,,,,,,,,2002,6
22,14,R,0,22,42,Engine,yoong,minardi,,,,,,,,2002,6
16,15,R,0,20,38,Hydraulics,irvine,jaguar,,,,,,,,2002,6
7,16,R,0,5,27,Collision,heidfeld,sauber,,,,,,,,2002,6
10,17,R,0,18,26,Collision,sato,jordan,,,,,,,,2002,6
12,18,R,0,9,22,Engine,panis,bar,,,,,,,,2002,6
8,19,R,0,7,7,Suspension,massa,sauber,,,,,,,,2002,6
4,20,R,0,6,5,Engine,raikkonen,mclaren,,,,,,,,2002,6
21,21,R,0,12,2,Collision,bernoldi,arrows,,,,,,,,2002,6
17,22,R,0,19,0,Throttle,rosa,jaguar,,,,,,,,2002,6
1,1,1,8,7,200,Finished,bryan,epperly,13453800,3:44:13.80,,,,,,1958,4
99,2,2,6,25,200,Finished,george_amick,epperly,13481430,+27.63,,,,,,1958,4
9,3,3,4,8,200,Finished,boyd,kurtis_kraft,13523470,+1:09.67,,,,,,1958,4
33,4,4,4,9,200,Finished,bettenhausen,epperly,13548610,+1:34.81,,,,,,1958,4
2,5,5,2,20,200,Finished,rathmann,epperly,13549420,+1:35.62,,,,,,1958,4
16,6,6,0,3,200,Finished,reece,watson,13590750,+2:16.95,,,,,,1958,4
26,7,7,0,13,200,Finished,freeland,phillips,13594860,+2:21.06,,,,,,1958,4
44,8,8,0,19,200,Finished,larson,watson,13787820,+5:34.02,,,,,,1958,4
61,9,9,0,26,200,Finished,johnson,kurtis_kraft,13829560,+6:15.76,,,,,,1958,4
54,10,10,0,33,200,Finished,cheesbourg,kurtis_kraft,13937390,+8:03.59,,,,,,1958,4
52,11,11,0,21,200,Finished,keller,kurtis_kraft,14008000,+9:14.20,,,,,,1958,4
45,12,12,0,6,200,Finished,parsons,kurtis_kraft,14034650,+9:40.85,,,,,,1958,4
19,13,13,0,30,200,Finished,tolan,kuzma,14046040,+9:52.24,,,,,,1958,4
65,14,R,0,17,189,Spun off,christie,kurtis_kraft,,,,,,,,1958,4
59,15,R,0,32,151,Heat shield fire,dempsey_wilson,kuzma,,,,,,,,1958,4
29,16,R,0,12,148,Spun off,foyt,kuzma,,,,,,,,1958,4
77,17,D,0,31,136,Disqualified,magill,kurtis_kraft,,,,,,,,1958,4
15,18,R,0,14,122,Throttle,paul_russo,kurtis_kraft,,,,,,,,1958,4
83,19,R,0,23,116,Brakes,templeman,kurtis_kraft,,,,,,,,1958,4
8,20,R,0,11,93,Magneto,ward,lesovsky,,,,,,,,1958,4
43,21,R,0,15,80,Magneto,garrett,kurtis_kraft,,,,,,,,1958,4
88,22,R,0,18,68,Transmission,sachs,kuzma,,,,,,,,1958,4
7,23,R,0,22,52,Steering,thomson,kurtis_kraft,,,,,,,,1958,4
89,24,R,0,29,38,Accident,weyant,dunn,,,,,,,,1958,4
25,25,R,0,10,21,Fuel pump,turner,lesovsky,,,,,,,,1958,4
14,26,R,0,4,1,Accident,veith,kurtis_kraft,,,,,,,,1958,4
97,27,R,0,1,0,Accident,dick_rathmann,watson,,,,,,,,1958,4
5,28,R,0,2,0,Accident,elisian,watson,,,,,,,,1958,4
4,29,R,0,5,0,Accident,connor,kurtis_kraft,,,,,,,,1958,4
31,30,R,0,16,0,Accident,goldsmith,kurtis_kraft,,,,,,,,1958,4
1,1,1,25,1,56,Finished,vettel,red_bull,5859832,1:37:39.832,6,33,1:41.539,kph,196.523,2011,2
4,2,2,18,4,56,Finished,button,mclaren,5863093,+3.261,4,50,1:41.264,kph,197.057,2011,2
9,3,3,15,6,56,Finished,heidfeld,renault,5884907,+25.075,7,47,1:41.547,kph,196.508,2011,2
2,4,4,12,3,56,Finished,webber,red_bull,5886216,+26.384,1,46,1:40.571,kph,198.415,2011,2
6,5,5,10,7,56,Finished,massa,ferrari,5896790,+36.958,9,41,1:41.999,kph,195.637,2011,2
5,6,6,8,5,56,Finished,alonso,ferrari,5897080,+37.248,2,49,1:40.717,kph,198.127,2011,2
16,7,7,6,10,56,Finished,kobayashi,sauber,5926271,+1:06.439,10,39,1:42.095,kph,195.453,2011,2
3,8,8,4,2,56,Finished,hamilton,mclaren,5929789,+1:09.957,5,54,1:41.512,kph,196.575,2011,2
7,9,9,2,11,56,Finished,michael_schumacher,mercedes,5944728,+1:24.896,11,45,1:42.491,kph,194.698,2011,2
15,10,10,1,14,56,Finished,resta,force_india,5951395,+1:31.563,13,48,1:42.883,kph,193.956,2011,2
14,11,11,0,17,55,+1 Lap,sutil,force_india,5961211,+1:41.379,14,34,1:42.973,kph,193.786,2011,2
8,12,12,0,9,55,+1 Lap,rosberg,mercedes,,,8,45,1:41.778,kph,196.062,2011,2
18,13,13,0,12,55,+1 Lap,buemi,toro_rosso,,,12,36,1:42.659,kph,194.379,2011,2
19,14,14,0,13,55,+1 Lap,alguersuari,toro_rosso,,,17,37,1:43.744,kph,192.346,2011,2
20,15,15,0,19,55,+1 Lap,kovalainen,lotus_racing,,,16,43,1:43.677,kph,192.470,2011,2
24,16,16,0,21,54,+2 Laps,glock,virgin,,,20,50,1:45.357,kph,189.401,2011,2
10,17,17,0,8,52,Accident,petrov,renault,,,3,49,1:41.054,kph,197.466,2011,2
23,18,R,0,23,46,+10 Laps,liuzzi,hrt,,,23,42,1:46.521,kph,187.332,2011,2
25,19,R,0,22,42,Accident,ambrosio,virgin,,,19,41,1:45.346,kph,189.421,2011,2
21,20,R,0,20,31,Clutch,trulli,lotus_racing,,,18,23,1:45.280,kph,189.540,2011,2
17,21,R,0,16,23,Accident,perez,sauber,,,15,19,1:43.298,kph,193.177,2011,2
11,22,R,0,15,22,Gearbox,barrichello,williams,,,21,10,1:45.516,kph,189.116,2011,2
22,23,R,0,24,14,+42 Laps,karthikeyan,hrt,,,24,5,1:49.385,kph,182.427,2011,2
12,24,R,0,18,8,Engine misfire,maldonado,williams,,,22,5,1:45.689,kph,188.806,2011,2
5,1,1,25,3,58,Finished,vettel,ferrari,5373283,1:29:33.283,4,53,1:26.469,kph,220.782,2018,1
44,2,2,18,1,58,Finished,hamilton,mercedes,5378319,+5.036,3,50,1:26.444,kph,220.845,2018,1
7,3,3,15,2,58,Finished,raikkonen,ferrari,5379592,+6.309,2,57,1:26.373,kph,221.027,2018,1
3,4,4,12,8,58,Finished,ricciardo,red_bull,5380352,+7.069,1,54,1:25.945,kph,222.128,2018,1
14,5,5,10,10,58,Finished,alonso,mclaren,5401169,+27.886,7,57,1:26.978,kph,219.489,2018,1
33,6,6,8,4,58,Finished,max_verstappen,red_bull,5402228,+28.945,5,54,1:26.880,kph,219.737,2018,1
27,7,7,6,7,58,Finished,hulkenberg,renault,5405954,+32.671,9,57,1:27.081,kph,219.230,2018,1
77,8,8,4,15,58,Finished,bottas,mercedes,5407622,+34.339,8,54,1:27.019,kph,219.386,2018,1
2,9,9,2,11,58,Finished,vandoorne,mclaren,5408204,+34.921,6,57,1:26.958,kph,219.540,2018,1
55,10,10,1,9,58,Finished,sainz,renault,5419005,+45.722,12,51,1:27.944,kph,217.079,2018,1
11,11,11,0,12,58,Finished,perez,force_india,5420100,+46.817,11,51,1:27.633,kph,217.849,2018,1
31,12,12,0,14,58,Finished,ocon,force_india,5433561,+1:00.278,10,57,1:27.600,kph,217.931,2018,1
16,13,13,0,18,58,Finished,leclerc,sauber,5449042,+1:15.759,15,56,1:28.759,kph,215.085,2018,1
18,14,14,0,13,58,Finished,stroll,williams,5451571,+1:18.288,14,55,1:28.511,kph,215.688,2018,1
28,15,15,0,16,57,+1 Lap,brendon_hartley,toro_rosso,,,13,57,1:28.176,kph,216.507,2018,1
8,16,R,0,6,24,Wheel,grosjean,haas,,,16,23,1:28.805,kph,214.974,2018,1
20,17,R,0,5,22,Wheel,kevin_magnussen,haas,,,17,21,1:29.534,kph,213.224,2018,1
10,18,R,0,20,13,Engine,gasly,toro_rosso,,,18,13,1:30.649,kph,210.601,2018,1
9,19,R,0,17,5,Steering,ericsson,sauber,,,19,4,1:32.210,kph,207.036,2018,1
35,20,R,0,19,4,Brakes,sirotkin,williams,,,20,3,1:32.573,kph,206.224,2018,1
2,1,1,9,2,96,Finished,emerson_fittipaldi,team_lotus,6978220,1:56:18.22,,,,,,1973,1
8,2,2,6,6,96,Finished,cevert,tyrrell,6982910,+4.69,,,,,,1973,1
6,3,3,4,4,96,Finished,stewart,tyrrell,7011410,+33.19,,,,,,1973,1
18,4,4,3,3,96,Finished,ickx,ferrari,7020790,+42.57,,,,,,1973,1
14,5,5,2,8,95,+1 Lap,hulme,mclaren,,,,,,,,1973,1
12,6,6,1,13,95,+1 Lap,wilson_fittipaldi,brabham,,,,,,,,1973,1
32,7,7,0,1,93,+3 Laps,regazzoni,brm,,,,,,,,1973,1
16,8,8,0,11,92,+4 Laps,revson,mclaren,,,,,,,,1973,1
20,9,9,0,14,92,+4 Laps,merzario,ferrari,,,,,,,,1973,1
22,10,10,0,18,90,Suspension,beuttler,march,,,,,,,,1973,1
24,11,R,0,17,84,Radiator,jarier,march,,,,,,,,1973,1
30,12,R,0,7,79,Engine,beltoise,brm,,,,,,,,1973,1
38,13,N,0,19,79,Not classified,ganley,iso_marlboro,,,,,,,,1973,1
4,14,R,0,5,67,Oil pressure,peterson,team_lotus,,,,,,,,1973,1
34,15,R,0,13,66,Oil pressure,lauda,brm,,,,,,,,1973,1
10,16,R,0,9,16,Gearbox,reutemann,brabham,,,,,,,,1973,1
26,17,R,0,10,10,Halfshaft,hailwood,surtees,,,,,,,,1973,1
28,18,R,0,15,10,Suspension,pace,surtees,,,,,,,,1973,1
36,19,R,0,16,0,Engine,galli,iso_marlboro,,,,,,,,1973,1
2,1,1,8,1,36,Finished,jack_brabham,cooper-climax,8497300,2:21:37.3,,,,,,1960,5
4,2,2,6,14,36,Finished,mclaren,cooper-climax,8560600,+1:03.3,,,,,,1960,5
34,3,3,4,5,35,+1 Lap,gendebien,cooper-climax,,,,,,,,1960,5
24,4,4,3,4,35,+1 Lap,phil_hill,ferrari,,,,,,,,1960,5
18,5,5,2,10,34,+2 Laps,clark,team_lotus,,,,,,,,1960,5
32,6,6,1,15,28,+8 Laps,bianchi,cooper-climax,,,,,,,,1960,5
10,7,R,0,6,35,Engine,hill,brm,,,,,,,,1960,5
16,8,R,0,17,24,Accident,stacey,team_lotus,,,,,,,,1960,5
22,9,R,0,13,23,Transmission,mairesse,ferrari,,,,,,,,1960,5
26,10,R,0,11,22,Transmission,trips,ferrari,,,,,,,,1960,5
36,11,R,0,9,19,Accident,bristow,cooper-climax,,,,,,,,1960,5
30,12,R,0,18,16,Engine,daigh,scarab,,,,,,,,1960,5
6,13,R,0,7,14,Engine,bonnier,brm,,,,,,,,1960,5
14,14,R,0,8,13,Accident,ireland,team_lotus,,,,,,,,1960,5
8,15,R,0,12,4,Engine,gurney,brm,,,,,,,,1960,5
38,16,R,0,2,2,Gearbox,brooks,cooper-climax,,,,,,,,1960,5
28,17,R,0,16,1,Engine,reventlow,scarab,,,,,,,,1960,5
12,18,W,0,3,0,Accident,moss,team_lotus,,,,,,,,1960,5
20,19,W,0,19,0,Accident,mike_taylor,team_lotus,,,,,,,,1960,5
3,1,1,9,2,84,Finished,stewart,matra-ford,6955600,1:55:55.6,,,,,,1969,6
7,2,2,6,4,83,+1 Lap,ickx,brabham-ford,,,,,,,,1969,6
6,3,3,4,7,83,+1 Lap,mclaren,mclaren-ford,,,,,,,,1969,6
2,4,4,3,1,83,+1 Lap,rindt,lotus-ford,,,,,,,,1969,6
16,5,5,2,10,83,+1 Lap,courage,brabham-ford,,,,,,,,1969,6
19,6,6,1,11,82,+2 Laps,elford,mclaren-ford,,,,,,,,1969,6
1,7,7,0,12,82,+2 Laps,hill,lotus-ford,,,,,,,,1969,6
10,8,8,0,9,81,+3 Laps,siffert,lotus-ford,,,,,,,,1969,6
4,9,9,0,17,78,+6 Laps,beltoise,matra-ford,,,,,,,,1969,6
9,10,10,0,14,75,+9 Laps,miles,lotus-ford,,,,,,,,1969,6
12,11,R,0,8,61,Engine,rodriguez,ferrari,,,,,,,,1969,6
11,12,R,0,5,45,Gearbox,amon,ferrari,,,,,,,,1969,6
5,13,R,0,3,27,Ignition,hulme,mclaren-ford,,,,,,,,1969,6
15,14,R,0,13,19,Transmission,oliver,brm,,,,,,,,1969,6
18,15,R,0,16,6,Engine,bonnier,lotus-ford,,,,,,,,1969,6
20,16,R,0,15,5,Suspension,bell,mclaren-ford,,,,,,,,1969,6
14,17,R,0,6,1,Suspension,surtees,brm,,,,,,,,1969,6
1,1,1,10,4,57,Finished,alonso,renault,5386205,1:29:46.205,3,21,1:32.534,kph,210.551,2006,1
