number,position,positionText,points,grid,laps,status,driverId,constructorId,Time.millis,Time.time,FastestLap.rank,FastestLap.lap,FastestLap.Time.time,FastestLap.AverageSpeed.units,FastestLap.AverageSpeed.speed,season,round
26,19,R,0,12,15,Power Unit,kvyat,red_bull,,,20,13,1:46.291,kph,184.621,2015,3
27,20,R,0,16,9,Gearbox,hulkenberg,force_india,,,18,6,1:45.844,kph,185.401,2015,3
3,1,1,10,3,77,Finished,michael_schumacher,ferrari,6326400,1:45:26.4,,,,,,1998,12
7,2,2,6,2,77,Finished,coulthard,mclaren,6335833,+9.433,,,,,,1998,12
1,3,3,4,6,77,Finished,villeneuve,williams,6370844,+44.444,,,,,,1998,12
9,4,4,3,4,77,Finished,damon_hill,jordan,6381476,+55.076,,,,,,1998,12
2,5,5,2,7,77,Finished,frentzen,williams,6382910,+56.51,,,,,,1998,12
8,6,6,1,1,76,+1 Lap,hakkinen,mclaren,,,,,,,,1998,12
14,7,7,0,11,76,+1 Lap,alesi,sauber,,,,,,,,1998,12
5,8,8,0,8,76,+1 Lap,fisichella,benetton,,,,,,,,1998,12
10,9,9,0,10,76,+1 Lap,ralf_schumacher,jordan,,,,,,,,1998,12
15,10,10,0,15,76,+1 Lap,herbert,sauber,,,,,,,,1998,12
16,11,11,0,12,74,+3 Laps,diniz,arrows,,,,,,,,1998,12
11,12,12,0,20,74,+3 Laps,panis,prost,,,,,,,,1998,12
19,13,13,0,17,74,+3 Laps,verstappen,stewart,,,,,,,,1998,12
21,14,14,0,18,74,+3 Laps,takagi,tyrrell,,,,,,,,1998,12
22,15,15,0,19,74,+3 Laps,nakano,minardi,,,,,,,,1998,12
6,16,R,0,9,69,Gearbox,wurz,benetton,,,,,,,,1998,12
18,17,R,0,14,54,Gearbox,barrichello,stewart,,,,,,,,1998,12
12,18,R,0,16,28,Engine,trulli,prost,,,,,,,,1998,12
17,19,R,0,13,18,Gearbox,salo,arrows,,,,,,,,1998,12
4,20,R,0,5,13,Gearbox,irvine,ferrari,,,,,,,,1998,12
23,21,R,0,21,13,Engine,tuero,minardi,,,,,,,,1998,12
2,1,1,9,2,64,Finished,prost,mclaren,4762131,1:19:22.131,,,,,,1989,8
27,2,2,6,3,64,Finished,mansell,ferrari,4781500,+19.369,,,,,,1989,8
19,3,3,4,9,64,Finished,nannini,benetton,4810150,+48.019,,,,,,1989,8
11,4,4,3,10,64,Finished,piquet,team_lotus,4828866,+1:06.735,,,,,,1989,8
23,5,5,2,11,63,+1 Lap,martini,minardi,,,,,,,,1989,8
24,6,6,1,15,63,+1 Lap,sala,minardi,,,,,,,,1989,8
26,7,7,0,24,63,+1 Lap,grouillard,ligier,,,,,,,,1989,8
12,8,8,0,16,63,+1 Lap,satoru_nakajima,team_lotus,,,,,,,,1989,8
9,9,9,0,19,62,+2 Laps,warwick,arrows,,,,,,,,1989,8
5,10,10,0,7,62,+2 Laps,boutsen,williams,,,,,,,,1989,8
20,11,11,0,26,62,+2 Laps,pirro,benetton,,,,,,,,1989,8
37,12,12,0,21,62,+2 Laps,gachot,onyx,,,,,,,,1989,8
15,13,R,0,6,54,Gearbox,gugelmin,march,,,,,,,,1989,8
