season,round,url,raceName,date,circuitId,time
1988,13,http://en.wikipedia.org/wiki/1988_Portuguese_Grand_Prix,Portuguese Grand Prix,1988-09-25,estoril,
1988,14,http://en.wikipedia.org/wiki/1988_Spanish_Grand_Prix,Spanish Grand Prix,1988-10-02,jerez,
1988,15,http://en.wikipedia.org/wiki/1988_Japanese_Grand_Prix,Japanese Grand Prix,1988-10-30,suzuka,
1988,16,http://en.wikipedia.org/wiki/1988_Australian_Grand_Prix,Australian Grand Prix,1988-11-13,adelaide,
1967,1,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix,South African Grand Prix,1967-01-02,kyalami,
1967,2,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix,Monaco Grand Prix,1967-05-07,monaco,
1967,3,http://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix,Dutch Grand Prix,1967-06-04,zandvoort,
1967,4,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix,Belgian Grand Prix,1967-06-18,spa,
1967,5,http://en.wikipedia.org/wiki/1967_French_Grand_Prix,French Grand Prix,1967-07-02,lemans,
1967,6,http://en.wikipedia.org/wiki/1967_British_Grand_Prix,British Grand Prix,1967-07-15,silverstone,
1967,7,http://en.wikipedia.org/wiki/1967_German_Grand_Prix,German Grand Prix,1967-08-06,nurburgring,
1967,8,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix,Canadian Grand Prix,1967-08-27,mosport,
1967,9,http://en.wikipedia.org/wiki/1967_Italian_Grand_Prix,Italian Grand Prix,1967-09-10,monza,
1967,10,http://en.wikipedia.org/wiki/1967_United_States_Grand_Prix,United States Grand Prix,1967-10-01,watkins_glen,
1967,11,http://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix,Mexican Grand Prix,1967-10-22,rodriguez,
2019,1,https://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,Australian Grand Prix,2019-03-17,albert_park,05:10:00Z
2019,2,https://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,Bahrain Grand Prix,2019-03-31,bahrain,15:10:00Z
2019,3,https://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,Chinese Grand Prix,2019-04-14,shanghai,06:10:00Z
2019,4,https://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,2019-04-28,BAK,12:10:00Z
2019,5,https://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix,Spanish Grand Prix,2019-05-12,catalunya,13:10:00Z
2019,6,https://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,Monaco Grand Prix,2019-05-26,monaco,13:10:00Z
2019,7,https://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,Canadian Grand Prix,2019-06-09,villeneuve,18:10:00Z
2019,8,https://en.wikipedia.org/wiki/2019_French_Grand_Prix,French Grand Prix,2019-06-23,ricard,13:10:00Z
2019,9,https://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix,Austrian Grand Prix,2019-06-30,red_bull_ring,13:10:00Z
2019,10,https://en.wikipedia.org/wiki/2019_British_Grand_Prix,British Grand Prix,2019-07-14,silverstone,13:10:00Z
2019,11,https://en.wikipedia.org/wiki/2019_German_Grand_Prix,German Grand Prix,2019-07-28,hockenheimring,13:10:00Z
2019,12,https://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix,Hungarian Grand Prix,2019-08-04,hungaroring,13:10:00Z
2019,13,https://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix,Belgian Grand Prix,2019-09-01,spa,13:10:00Z
2019,14,https://en.wikipedia.org/wiki/2019_Italian_Grand_Prix,Italian Grand Prix,2019-09-08,monza,13:10:00Z
2019,15,https://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix,Singapore Grand Prix,2019-09-22,marina_bay,12:10:00Z
2019,16,https://en.wikipedia.org/wiki/2019_Russian_Grand_Prix,Russian Grand Prix,2019-09-29,sochi,11:10:00Z
2019,17,https://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix,Japanese Grand Prix,2019-10-13,suzuka,05:10:00Z
2019,18,https://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix,Mexican Grand Prix,2019-10-27,rodriguez,19:10:00Z
2019,19,https://en.wikipedia.org/wiki/2019_United_States_Grand_Prix,United States Grand Prix,2019-11-03,americas,19:10:00Z
2019,20,https://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix,Brazilian Grand Prix,2019-11-17,interlagos,17:10:00Z
2019,21,https://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,2019-12-01,yas_marina,13:10:00Z
2018,1,https://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,Australian Grand Prix,2018-03-25,albert_park,05:10:00Z
2018,2,https://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,Bahrain Grand Prix,2018-04-08,bahrain,15:10:00Z
2018,3,https://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix,Chinese Grand Prix,2018-04-15,shanghai,06:10:00Z
