constructorId,url,name,nationality,color
coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,Coloni,Italian,#444444
connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British,#444444
connew,http://en.wikipedia.org/wiki/Connew,Connew,British,#444444
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British,#444444
cooper-alfa_romeo,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Alfa Romeo,British,#444444
cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-ATS,British,#444444
cooper-borgward,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Borgward,British,#444444
cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-BRM,British,#444444
cooper-castellotti,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Castellotti,British,#444444
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,#444444
cooper-ferrari,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ferrari,British,#444444
cooper-ford,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ford,British,#444444
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,#444444
cooper-osca,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-OSCA,British,#444444
dallara,http://en.wikipedia.org/wiki/Dallara,Dallara,Italian,#444444
tomaso,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian,#444444
de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian,#444444
de_tomaso-ferrari,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Ferrari,Italian,#444444
de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian,#444444
deidt,http://en.wikipedia.org/wiki/Deidt,Deidt,American,#444444
del_roy,http://en.wikipedia.org/wiki/Del_Roy,Del Roy,American,#444444
derrington,http://en.wikipedia.org/wiki/Derrington-Francis,Derrington,British,#444444
dunn,http://en.wikipedia.org/wiki/Dunn_Engineering,Dunn,American,#444444
eagle,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle,American,#444444
eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American,#444444
eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American,#444444
elder,http://en.wikipedia.org/wiki/Elder_(constructor),Elder,American,#444444
hill,http://en.wikipedia.org/wiki/Hill_(constructor),Embassy Hill,British,#444444
emeryson,http://en.wikipedia.org/wiki/Emeryson,Emeryson,British,#444444
emw,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,EMW,East German,#444444
enb,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,ENB,Belgium,#444444
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,#444444
epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American,#444444
era,http://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British,#444444
eurobrun,http://en.wikipedia.org/wiki/Euro_Brun,Euro Brun,Italian,#444444
ewing,http://en.wikipedia.org/wiki/Ewing_(constructor),Ewing,American,#444444
ferguson,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,Ferguson,British,#444444
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,#DC0000
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,#444444
fondmetal,http://en.wikipedia.org/wiki/Fondmetal,Fondmetal,Italian,#444444
footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British,#444444
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian,#F596C8
forti,http://en.wikipedia.org/wiki/Forti,Forti,Italian,#444444
frazer_nash,http://en.wikipedia.org/wiki/Frazer_Nash,Frazer Nash,British,#444444
fry,http://en.wikipedia.org/wiki/Fry_(racing_team),Fry,British,#444444
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British,#444444
gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French,#444444
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,#F0D787
hall,http://en.wikipedia.org/wiki/Hall_(constructor),Hall,American,#444444
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British,#444444
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,#00D3bE
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish,#444444
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British,#444444
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British,#444444
jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British,#1E41FF
jbw,http://en.wikipedia.org/wiki/JBW,JBW,British,#444444
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish,#F596C8
kauhsen,http://en.wikipedia.org/wiki/Kauhsen,Kauhsen,German,#444444
klenk,http://en.wikipedia.org/wiki/Klenk,Klenk,German,#444444
kojima,http://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese,#444444
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,#444444
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American,#444444
lambo,http://en.wikipedia.org/wiki/Modena_(racing_team),Lambo,Italian,#444444
lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Lancia,Italian,#444444
langley,http://en.wikipedia.org/wiki/Langley_(constructor),Langley,American,#444444
larrousse,http://en.wikipedia.org/wiki/Larrousse,Larrousse,French,#444444
lds,http://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African,#444444
lds-alfa_romeo,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Alfa Romeo,South African,#444444
lds-climax,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Climax,South African,#444444
lec,http://en.wikipedia.org/wiki/LEC_(Formula_One),LEC,British,#444444
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American,#444444
leyton,http://en.wikipedia.org/wiki/Leyton_House,Leyton House,British,#444444
life,http://en.wikipedia.org/wiki/Life_(Racing_Team),Life,Italian,#444444
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French,#444444
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,#444444
lotus_racing,http://en.wikipedia.org/wiki/Lotus_Racing,Lotus,Malaysian,#444444
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British,#FFF500
lotus-borgward,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Borgward,British,#444444
